Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS
0,0,0,0.0,0.0,1,0.0
1,0,0,0.0,0.0,1,0.0
2,0,0,0.0,0.0,1,3.884
3,0,0,0.0,0.0,1,9.565
4,0,0,0.0,0.0,0,16.955999999999996
5,0,0,0.0,0.0,0,25.969999999999995
6,0,0,0.0,0.0,0,36.519999999999996
7,0,0,0.0,0.0,0,48.51899999999999
8,0,0,0.0,0.0,1,76.86799999999998
9,0,0,0.0,0.0,1,93.07199999999997
10,0,0,0.0,0.0,1,110.43499999999999
11,0,0,0.0,0.0,1,110.43499999999999
12,0,0,0.48632237079408663,0.0,1,142.87000000000003
13,0,0,0.45158505859450904,0.0,1,215.57700000000008
14,0,0,0.4214793880215418,0.0,1,215.57700000000008
15,0,0,0.39513692627019537,0.0,2,309.9600000000001
16,0,0,0.37189357766606623,0.0,2,309.9600000000001
17,0,0,0.3512328233512848,0.0,1,294.4620000000001
18,0,0,0.33274688528016455,0.0,1,442.3320000000001
19,0,1,0.0,7.109857804458031,1,473.43200000000013
20,0,1,0.0,3.5549289022290154,1,473.43200000000013
21,0,1,0.0,2.3699526014860104,1,561.3250000000002
22,0,1,0.0,1.7774644511145077,2,627.5880000000001
23,0,1,0.0,1.4219715608916061,2,660.9680000000002
24,0,1,0.0,1.1849763007430052,2,694.2310000000001
25,2,1,0.0,1.015693972065433,2,727.2900000000001
26,2,1,0.0,0.8887322255572538,2,735.54
27,4,1,0.0,0.7899842004953367,2,767.684
28,4,1,0.0,0.7109857804458031,2,899.811
29,6,1,0.0,0.6463507094961847,3,967.925
30,6,1,1.031880735057474,0.5924881503715026,2,967.925
31,7,1,1.336278876142876,0.5469121388044639,2,1037.3039999999999
32,8,1,1.2408303849898137,0.5078469860327165,2,1037.3039999999999
33,10,1,1.5079084147006345,0.47399052029720207,2,1252.5629999999999
34,10,1,1.413664138781845,0.4443661127786269,2,1286.3999999999999
35,10,1,1.5558780988383702,0.41822692967400177,2,1319.1339999999998
36,10,2,1.6067150467445126,0.7803177414957494,2,1319.1339999999998
37,10,3,1.6865745364390081,0.9545879126216935,3,1468.8369999999995
38,10,4,1.6022458096170578,1.3807183598908483,2,1468.8369999999995
39,0,0,7.10775115649902,0.0,2,1589.0599999999995
40,0,1,3.55387557824951,3.343753685079894,2,1589.0599999999995
41,0,2,2.369250385499673,3.720484789970868,2,1965.0229999999988
42,0,3,1.776937789124755,4.539534390488242,2,2257.821999999999
43,1,3,1.421550231299804,3.631627512390594,2,2251.4029999999993
44,2,3,1.1846251927498366,3.0263562603254948,2,2089.7609999999995
45,2,3,1.015393022357003,2.594019651707567,3,2439.899999999999
46,3,3,0.8884688945623775,2.269767195244121,3,2380.517999999999
47,4,3,1.5308798808514053,2.017570840216997,3,2394.9729999999995
48,6,4,1.3777918927662647,2.6436344474216376,3,2265.4079999999994
49,6,4,1.2525380843329679,2.403304043110579,3,2394.2379999999994
50,8,4,1.411673809634332,2.2030287061846976,3,2394.2379999999994
51,8,4,1.7244713667447826,2.0335649595551057,3,2708.4569999999994
52,9,4,1.6012948405487266,1.8883103195868838,4,3157.439999999999
53,12,4,1.8132932464266103,1.762422964947758,4,3244.0239999999994
54,12,4,2.5566168542854317,1.6522715296385233,3,3329.996999999999
55,15,5,2.4062276275627594,1.989893212588872,3,3329.996999999999
56,17,5,2.2725483149203836,1.8793435896672677,3,3361.346999999999
57,21,5,2.411570098898271,1.780430769158464,3,3503.489999999999
58,22,5,2.2909915939533576,1.6914092307005408,2,3466.6629999999986
59,2,1,0.0,5.820469115553095,3,3690.743999999999
60,2,1,6.8438401025449735,2.9102345577765476,3,3690.743999999999
61,4,3,7.31319212688811,7.321944776791708,3,3690.743999999999
62,5,4,5.986251584969704,6.969495697644372,3,3570.2399999999984
63,6,4,6.716928771523953,5.624872417521185,3,3832.1419999999985
64,9,4,7.713387462170769,4.687393681267653,3,4098.881999999999
65,10,5,7.155697127354088,5.408773885793582,4,4070.8579999999993
66,13,5,7.065152174044798,4.7326771500693825,4,4076.5619999999994
67,15,6,6.280135265817597,5.009237853445614,4,4815.487999999999
68,20,7,6.329714152253594,4.58107432567715,4,4717.44
