Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
0,0,0.0,0.0,1,1410.0,15,3,2
20,0,0.0,0.0,2,1700,15,3,2
40,4,6.824587282172434,0.0,4,1700,15,3,2
60,2,1.9455848666423137,3.4557244476924134,4,1700,15,3,2
80,5,2.8025599853636507,0.0,4,1700,15,3,2
100,4,16.959986899703416,1.84827615587011,3,1700,15,3,2
120,0,10.184410812606792,5.344724504747471,2,1700,15,3,2
140,2,4.138035888529501,4.88071190221433,5,1700,15,3,2
160,2,11.765818895574043,5.687538675923065,3,1700,15,3,2
180,3,5.914057794242922,8.666628024401271,4,1700,15,3,2
200,2,10.170387033377892,0.0,3,1700,15,3,2
220,5,18.51152171699688,5.7598170269604525,4,1700,15,3,2
240,3,12.601206517594932,17.401677109207014,2,1700,15,3,2
260,5,14.170210275766237,5.532295712423736,2,1700,15,3,2
280,5,11.55959489313716,7.363357096796601,1,1700,15,3,2
300,2,38.35915064855371,13.610954992930147,2,1700,15,3,2
320,5,14.608742259511587,12.740927873425298,2,1700,15,3,2
340,2,15.77107820684489,19.036112608158835,3,1700,15,3,2
360,4,11.11437415783385,23.77752107513989,4,1435.5735247402076,15,3,2
380,5,10.789370446414637,4.9513558822790555,3,1700,15,3,2
400,2,30.11899067839323,40.738571189498884,5,248.3000167350781,5,3,12
420,4,3.1940422294056248,19.7749381442956,8,264.0543466343861,5,3,12
440,4,29.73375134762648,13.71222633924655,8,704.1985028871276,8,3,9
460,4,24.28797146294812,30.032940266594704,9,10,5,3,12
480,4,29.938835634729344,11.487025304492704,11,605.9082286855107,7,3,10
500,4,14.114314456845989,24.212684659324662,12,311.0203025327844,5,3,12
520,5,16.20184883396263,0.0,13,1700,15,3,2
540,3,3.8480678148388847,15.364732003606226,11,1700,15,3,2
560,4,7.941288661643853,13.671262460822694,10,1700,15,3,2
580,3,26.892676467623744,13.354813257844475,7,1700,15,3,2
600,4,12.02559234162095,25.21713462507667,6,1334.800576244633,15,3,2
620,4,0.7197566825638546,17.66586078902037,7,1498.190321013207,15,3,2
640,5,31.5049157501889,18.35686075050944,6,1613.2100684775462,15,3,2
