Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
0,0,0.0,0.0,1,1340.0,15,3,2
20,2,0.0,0.0,0,1700,15,3,2
40,0,4.974335696909904,2.6582814219839435,1,1700,15,3,2
60,3,0.0,0.0,1,1700,15,3,2
80,2,7.229022991466216,0.0,1,1700,15,3,2
100,2,0.0,0.0,2,1700,15,3,2
120,3,0.0,0.0,3,1700,15,3,2
140,0,0.0,0.0,3,1700,15,3,2
160,0,6.257328061728984,0.0,1,1700,15,3,2
180,2,0.0,18.171946319828674,1,1700,15,3,2
200,0,0.0,3.467442853661377,1,1700,15,3,2
220,0,3.5484225251753543,0.0,2,1700,15,3,2
240,0,0.0,0.0,1,1700,15,3,2
260,2,2.6513983626280435,0.7329171891882424,2,1700,15,3,2
280,0,0.0,0.0,3,1700,15,3,2
300,0,0.0,0.0,1,1700,15,3,2
320,1,0.0,5.389401948914004,1,1700,15,3,2
340,1,3.5550321667813023,8.025317330449866,1,1700,15,3,2
360,0,0.0,0.0,2,1700,15,3,2
380,2,0.0,0.0,1,1700,15,3,2
400,0,2.7665035437465235,0.0,3,1700,15,3,2
420,1,7.549632737108425,4.336309940231331,2,1700,15,3,2
440,4,10.033238618254359,0.0,2,1700,15,3,2
460,0,7.632698467112675,14.791388765106225,1,1700,15,3,2
480,2,3.0868541191139798,0.0,2,1700,15,3,2
500,0,0.0,4.469452440559962,0,1700,15,3,2
520,0,0.0,9.690770307751487,1,1700,15,3,2
540,0,3.7739061917662298,15.343610183515466,2,1700,15,3,2
560,0,4.545581229383799,6.073176296477338,1,1700,15,3,2
580,1,0.0,2.788275261870391,2,1700,15,3,2
600,2,2.226148044658771,0.0,1,1700,15,3,2
620,4,0.0,0.0,1,1700,15,3,2
640,0,4.865833726411495,0.0,1,1700,15,3,2
660,0,0.0,4.409757397434078,2,1700,15,3,2
680,4,0.0,11.63725629799425,1,1700,15,3,2
700,2,0.0,3.800313622679141,2,1700,15,3,2
720,0,0.0,0.0,2,1700,15,3,2
740,2,0.0,0.0,2,1700,15,3,2
760,0,2.732708358608704,13.328639422002198,2,1700,15,3,2
780,0,9.89356919231028,1.1269847935219939,2,1700,15,3,2
800,2,3.2782859756409266,0.0,2,1700,15,3,2
820,0,3.971847836425013,3.4671792331626725,2,1700,15,3,2
840,3,0.0,0.0,2,1700,15,3,2
860,0,0.1726442222178548,0.0,0,1700,15,3,2
880,0,0.0,14.199295293891131,1,1700,15,3,2
900,0,5.468716563385101,0.0,1,1700,15,3,2
920,3,0.0,0.0,1,1700,15,3,2
940,2,0.0,5.709368964481125,0,1700,15,3,2
960,2,0.0,5.584288811237077,2,1700,15,3,2
980,0,4.734187313054861,3.230843755911413,1,1700,15,3,2
1000,2,6.592926642734653,4.482334308697015,2,1700,15,3,2
1020,2,0.0,0.0,1,1700,15,3,2
1040,0,2.5507022524209333,2.971331489792798,0,1700,15,3,2
1060,0,0.0,4.318201102178894,1,1700,15,3,2
1080,0,3.307018188058919,0.0,1,1700,15,3,2
1100,0,8.289407206945043,0.0,1,1700,15,3,2
1120,2,3.2329165430155626,13.672014867309676,2,1700,15,3,2
1140,0,2.934942962329501,0.0,4,1700,15,3,2
1160,0,4.312755270990465,0.0,3,1700,15,3,2
1180,0,0.0,12.516123953783639,4,1700,15,3,2
1200,2,14.481359830062956,0.0,3,1700,15,3,2
1220,1,0.0,0.0,4,1700,15,3,2
1240,0,10.126048291434131,3.8702650845417943,6,1700,15,3,2
1260,2,3.7506141649430447,7.791555324051084,9,1700,15,3,2
1280,4,0.0,0.0,9,1700,15,3,2
1300,0,9.309976000727715,6.084712057766713,10,1700,15,3,2
1320,3,3.285723542046526,6.475409585815821,12,1700,15,3,2
1340,5,13.279070426904127,24.744405297686473,10,1700,15,3,2
1360,5,14.472766887706712,5.623819351834906,9,1700,15,3,2
1380,0,11.533915277948381,7.981506091747785,11,1700,15,3,2
1400,5,9.972614728781082,20.261043537929407,12,1700,15,3,2
1420,2,5.0186635119843,6.869723343731948,11,1700,15,3,2
1440,5,0.0,0.0,10,1700,15,3,2
1460,3,6.9771248651136375,14.076329217304343,9,1700,15,3,2
1480,2,0.5670691987376131,27.409140990816166,8,1700,15,3,2
1500,2,7.204312401665902,16.08239905726047,7,1700,15,3,2
1520,0,13.963944194253486,12.836001098931623,10,1700,15,3,2
1540,2,11.397620010660603,18.841083009734422,10,1700,15,3,2
1560,3,10.587140280719609,3.9990690100959605,9,1700,15,3,2
1580,2,5.537104712627183,22.480890274804704,10,1700,15,3,2
1600,4,13.764710866010432,13.564047443412619,11,1700,15,3,2
1620,2,0.0,31.92625960003852,10,1700,15,3,2
1640,4,3.627226543034112,6.376082254966302,9,1700,15,3,2
1660,4,3.374737129155392,17.363830656938717,12,1700,15,3,2
1680,2,0.0,4.3244002390868745,12,1700,15,3,2
1700,6,22.71643123077922,11.529469354146235,11,1439.8498138454545,15,3,2
1720,0,25.569215796258504,0.0,10,980.0047081073592,11,3,6
