Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS,Metering Rate,Green Time,Red Time
0,0.0,0.0,0.0,0.0,1,0.0,1490.0,15,2
20,0.0,180.0,0.0,3.5549289022290154,2,0.0,1700,15,2
40,0.0,180.0,3.55387557824951,3.343753685079894,3,0.0,1700,15,2
60,540.0,360.0,2.9499326158914485,4.4323630616154,3,0.0,1700,15,2
80,360.0,180.0,7.084832927000484,3.6936864777177427,3,0.0,1700,15,2
100,360.0,360.0,5.210958107758756,16.582826308901133,2,0.0,1700,15,2
120,720.0,180.0,6.232724041503523,5.372777710577736,3,0.0,1700,15,2
140,360.0,0.0,0.0,0.0,2,0.0,1700,15,2
160,360.0,180.0,4.2538325636613195,4.064224613577494,2,0.0,1700,15,2
180,360.0,360.0,3.271386898591544,7.655196357257428,3,0.0,1700,15,2
200,720.0,360.0,14.837831749301955,14.900489310693388,1,0.0,1700,15,2
220,360.0,540.0,3.4808044487594003,16.26286139873135,3,0.0,1700,15,2
240,540.0,360.0,9.61371233451267,20.711068656536707,4,0.0,1700,15,2
260,360.0,360.0,9.427568870390957,9.971442937220823,5,0.0,1700,15,2
280,900.0,360.0,24.92236609677363,11.990371411502565,6,0.0,1700,15,2
300,540.0,540.0,5.723021352390845,28.182168721139078,5,0.0,1700,15,2
320,720.0,180.0,25.117826486759753,10.292749069086918,4,0.0,1700,15,2
340,540.0,360.0,42.63911377602838,7.408230057567759,5,0.0,1700,15,2
360,540.0,180.0,6.822415442942997,15.77227257575847,5,0.0,1700,15,2
380,360.0,540.0,0.0,26.68286854538356,6,0.0,1700,15,2
400,720.0,540.0,0.0,25.359722945772017,8,0.0,1700,15,2
420,720.0,360.0,22.64153215807525,37.47542901408849,10,0.0,1141.8822419720577,13,4
440,720.0,360.0,19.706202967448405,16.829149456449006,9,0.0,1700,15,2
460,360.0,360.0,15.09762319314163,23.48827539819922,9,0.0,1700,15,2
480,720.0,720.0,12.488500138321967,24.170200722597695,7,0.0,1700,15,2
500,360.0,360.0,16.519536083798414,11.428981160907862,6,0.0,1700,15,2
520,720.0,180.0,41.17931592878534,2.0422978971983716,4,0.0,1700,15,2
540,360.0,360.0,0.0,22.671252858229234,4,0.0,1700,15,2
560,540.0,360.0,28.853863853753126,8.365623444205994,3,0.0,1700,15,2
580,720.0,540.0,24.257435565408514,31.097463545592063,6,0.0,1667.96684683329,15,2
