Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume,Metering Rate,Green Time,Red Time
0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
1,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
2,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
3,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1490.0,15,2
5,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1490.0,15,2
6,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1490.0,15,2
7,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1490.0,15,2
8,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
9,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
10,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
11,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
12,0.0,180.0,0.0,0.0,6.322190820323126,0.0,1,,,,,,1490.0,15,2
13,0.0,180.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
14,0.0,180.0,0.0,0.0,0.0,0.0,1,,,,,,1490.0,15,2
15,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,,1490.0,15,2
16,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,,1490.0,15,2
17,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,,1490.0,15,2
18,0.0,180.0,0.0,0.0,0.0,0.0,2,,,,,,1490.0,15,2
19,0.0,0.0,180.0,0.0,0.0,7.109857804458031,2,,,,,,1490.0,15,2
20,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
21,0.0,0.0,180.0,0.0,0.0,0.0,1,,,,,,1700,15,2
22,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
23,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
24,0.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
25,180.0,0.0,180.0,5.504762507114218,0.0,0.0,2,,,,,,1700,15,2
26,180.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
27,360.0,0.0,180.0,6.09652469851613,0.0,0.0,2,,,,,,1700,15,2
28,360.0,0.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
29,540.0,0.0,180.0,6.374807656815958,0.0,0.0,3,,,,,,1700,15,2
30,540.0,180.0,180.0,0.0,5.215932627684161,0.0,2,,,,,,1700,15,2
31,540.0,360.0,180.0,2.738291022644409,4.989056569167705,0.0,2,,,,,,1700,15,2
32,720.0,360.0,180.0,2.8243930246429017,0.0,0.0,2,,,,,,1700,15,2
33,720.0,540.0,180.0,3.812413737919229,5.2470008306521265,0.0,2,,,,,,1700,15,2
34,720.0,540.0,180.0,0.0,0.0,0.0,2,,,,,,1700,15,2
35,720.0,720.0,180.0,0.0,3.8313014597427753,0.0,2,,,,,,1700,15,2
36,720.0,900.0,360.0,0.0,5.9668300628770155,6.93586154246546,2,,,,,,1700,15,2
37,720.0,900.0,360.0,0.0,0.0,0.0,2,,,,,,1700,15,2
38,720.0,1080.0,540.0,0.0,6.426953392927004,6.736647688550097,3,,,,,,1700,15,2
39,0.0,180.0,0.0,0.0,7.10775115649902,0.0,3,,,,,,1700,15,2
40,0.0,180.0,180.0,0.0,0.0,6.687507370159788,3,,,,,,1700,15,2
41,0.0,180.0,360.0,0.0,0.0,4.473946999752816,3,,,,,,1700,15,2
42,0.0,180.0,360.0,0.0,0.0,0.0,3,,,,,,1700,15,2
43,180.0,180.0,540.0,6.294278172681207,0.0,6.892445482381504,3,,,,,,1700,15,2
44,180.0,180.0,540.0,0.0,0.0,0.0,4,,,,,,1700,15,2
45,180.0,180.0,720.0,0.0,0.0,6.159175827688064,4,,,,,,1700,15,2
46,360.0,180.0,720.0,4.7720892663832615,0.0,0.0,3,,,,,,1700,15,2
47,360.0,180.0,720.0,0.0,0.0,0.0,3,,,,,,1700,15,2
48,540.0,180.0,900.0,5.161046663416613,0.0,8.278206912263167,3,,,,,,1700,15,2
49,540.0,180.0,900.0,0.0,0.0,0.0,3,,,,,,1700,15,2
50,720.0,360.0,900.0,5.247982764160024,2.7200697424191844,0.0,3,,,,,,1700,15,2
51,720.0,360.0,900.0,0.0,0.0,0.0,4,,,,,,1700,15,2
52,720.0,540.0,900.0,2.642408664108705,2.2472053674279735,0.0,3,,,,,,1700,15,2
53,1080.0,540.0,900.0,9.78702326091773,0.0,0.0,3,,,,,,1700,15,2
54,1080.0,900.0,900.0,0.0,12.980053583666162,0.0,3,,,,,,1700,15,2
55,1260.0,900.0,900.0,5.34205124187442,0.0,0.0,2,,,,,,1700,15,2
56,1260.0,1080.0,900.0,7.182787087942444,3.359451440522676,0.0,2,,,,,,1700,15,2
57,1620.0,1080.0,900.0,8.526170755859042,0.0,0.0,2,,,,,,1700,15,2
58,1800.0,1080.0,900.0,3.188709696570413,0.0,0.0,3,,,,,,1700,15,2
59,180.0,0.0,180.0,7.278683621579773,0.0,5.8392992023039865,3,,,,,,1700,15,2
60,180.0,180.0,360.0,3.333410972179962,5.899865231782897,3.025426920926814,3,,,,,,1700,15,2
61,540.0,540.0,540.0,11.472517247685113,13.324474816187326,9.555444149623801,2,,,,,,1700,15,2
62,540.0,540.0,720.0,2.673959665901767,0.0,6.0165205376890185,2,,,,,,1700,15,2
63,720.0,720.0,720.0,3.754091796729734,5.78295736230281,0.0,2,,,,,,1700,15,2
64,1080.0,1080.0,900.0,9.424589674681982,12.54039131756386,2.2702091327777416,2,,,,,,1700,15,2
65,1080.0,1260.0,900.0,0.0,5.449628041254684,0.0,3,,,,,,1700,15,2
66,1440.0,1440.0,900.0,16.868096949552108,6.066337838668545,0.0,2,,,,,,1700,15,2
67,1620.0,1620.0,1080.0,6.04318080236889,7.641579976938573,6.7935441856652306,2,,,,,,1700,15,2
68,1980.0,1800.0,1080.0,18.287894109629832,6.623502480990595,0.0,2,,,,,,1700,15,2
69,1980.0,1800.0,1260.0,0.0,0.0,6.501928938796198,2,,,,,,1700,15,2
70,2160.0,1980.0,1440.0,7.897464715402691,6.970926063687699,7.001490983832544,2,,,,,,1700,15,2
71,2160.0,1980.0,1440.0,1.2636119980948972,0.0,0.0,2,,,,,,1700,15,2
72,2340.0,2340.0,1800.0,3.689191323997439,15.097779437552461,17.278809975022586,3,,,,,,1700,15,2
73,2340.0,2340.0,1800.0,0.0,0.0,0.0,3,,,,,,1700,15,2
74,2340.0,2700.0,1980.0,0.0,16.312059195738016,6.947086460337933,3,,,,,,1700,15,2
75,2520.0,2700.0,1980.0,6.673852302912546,0.0,0.0,3,,,,,,1700,15,2
76,2520.0,3240.0,2340.0,0.0,23.20268879485816,18.781826345770014,3,,,,,,1700,15,2
77,2700.0,3420.0,2520.0,10.666885943516746,7.095391653339789,0.929753568099064,3,,,,,,1700,15,2
78,2880.0,3780.0,2700.0,6.830172879567442,12.531357111529218,8.647072963857738,3,,,,,,1700,15,2
79,0.0,180.0,0.0,0.0,8.168957489971262,0.0,3,,,,,,1700,15,2
80,180.0,360.0,180.0,7.447145843666192,6.000708364029705,7.3873729554354854,3,,,,,,1700,15,2
81,180.0,540.0,180.0,8.353359651210704,16.320999351887266,0.0,4,,,,,,1700,15,2
82,360.0,540.0,540.0,7.847624934423673,0.0,9.9506973045564,3,,,,,,1700,15,2
83,540.0,720.0,540.0,7.127773803935611,3.9320916778873283,0.0,3,,,,,,1700,15,2
84,540.0,720.0,1080.0,0.6104658467528168,0.0,29.506909569258255,3,,,,,,1700,15,2
85,900.0,900.0,1260.0,13.810358457565522,6.242631444984426,3.6623103473544916,2,,,,,,1700,15,2
86,900.0,1080.0,1440.0,4.3496295006451176,9.080228428924997,9.645614587488657,2,,,,,,1700,15,2
87,1260.0,1080.0,1800.0,10.37501243643509,0.0,19.53086310729617,2,,,,,,1700,15,2
88,1260.0,1080.0,1980.0,0.0,0.0,8.788364276810986,1,,,,,,1700,15,2
89,1260.0,1260.0,1980.0,0.0,6.432853914797931,0.0,1,,,,,,1700,15,2
90,1260.0,1440.0,2160.0,0.0,2.876332771108636,6.242555668912549,2,,,,,,1700,15,2
91,1260.0,1440.0,2340.0,0.07302225544663088,0.0,6.368009522692357,2,,,,,,1700,15,2
92,1440.0,1620.0,2340.0,0.3102762761017175,6.2428685394415595,0.0,1,,,,,,1700,15,2
93,1440.0,1620.0,2520.0,0.0,0.0,7.439354200871644,1,,,,,,1700,15,2
94,1440.0,1800.0,2520.0,0.0,6.708845767204963,0.0,1,,,,,,1700,15,2
95,1620.0,1980.0,2520.0,8.301619354618595,15.630751418462552,0.0,2,,,,,,1700,15,2
96,1620.0,2160.0,2520.0,6.164887266985867,14.311591682591995,0.0,2,,,,,,1700,15,2
97,1980.0,2160.0,2880.0,14.511030512265203,0.0,19.10990764682718,2,,,,,,1700,15,2
98,1980.0,2340.0,2880.0,0.0,3.9518424254428197,0.0,2,,,,,,1700,15,2
99,0.0,180.0,180.0,3.0097939140899164,5.398175484685552,9.770809450418483,2,,,,,,1700,15,2
100,180.0,180.0,360.0,6.0109340863633065,0.0,23.394843167383783,2,,,,,,1700,15,2
101,360.0,360.0,720.0,14.42367469845441,7.27443273155437,24.028634328659848,2,,,,,,1700,15,2
102,540.0,360.0,900.0,6.081832925019152,0.0,3.0781585609744866,1,,,,,,1700,15,2
103,720.0,720.0,900.0,9.160182827478517,17.623636261798836,0.0,2,,,,,,1700,15,2
104,720.0,900.0,900.0,0.0,0.1731863500786801,0.0,2,,,,,,1700,15,2
105,900.0,900.0,900.0,9.507281757276095,0.0,0.0,2,,,,,,1700,15,2
106,900.0,900.0,900.0,0.0,0.0,0.0,2,,,,,,1700,15,2
107,1260.0,1080.0,900.0,19.921388433526726,16.124772999589965,0.0,2,,,,,,1700,15,2
108,1260.0,1260.0,900.0,0.0,1.1687105725886937,0.0,1,,,,,,1700,15,2
109,1440.0,1620.0,900.0,9.976930040609489,11.681212898288962,0.0,2,,,,,,1700,15,2
110,1440.0,1800.0,900.0,3.59973522038833,0.15348925333924512,0.0,2,,,,,,1700,15,2
111,1620.0,1980.0,1080.0,5.985179385054806,10.816247128090595,9.097571898833698,2,,,,,,1700,15,2
112,1620.0,2160.0,1440.0,3.561768242713015,5.557596452279512,6.512925346300354,2,,,,,,1700,15,2
113,2160.0,2340.0,1620.0,22.163500767784445,13.293578979598308,14.755348530205007,2,,,,,,1700,15,2
114,2160.0,2700.0,1800.0,5.4774042288829135,15.62531891265273,9.929571846102192,2,,,,,,1700,15,2
115,2340.0,2700.0,1800.0,5.354784881897008,0.0,0.0,2,,,,,,1700,15,2
116,2520.0,2880.0,1980.0,5.873723796641646,9.14940676729401,18.865015519401613,2,,,,,,1700,15,2
117,2520.0,2880.0,2160.0,0.0,0.0,9.797503744491584,3,,,,,,1700,15,2
118,2700.0,3240.0,2340.0,6.620194788767719,16.310716763446464,6.500781164008629,3,,,,,,1700,15,2
119,0.0,0.0,180.0,0.0,0.0,7.522984971144808,3,,,,,,1700,15,2
120,360.0,360.0,180.0,29.947171031867015,12.465448083007047,0.0,3,,,,,,1700,15,2
121,360.0,360.0,360.0,0.0,0.0,9.906453282309732,2,,,,,,1700,15,2
122,540.0,540.0,360.0,8.79703335469794,6.223911276602578,0.0,2,,,,,,1700,15,2
123,540.0,540.0,720.0,0.0,0.0,21.817392162098297,3,,,,,,1700,15,2
124,540.0,720.0,900.0,0.0,7.7417413323090045,4.373271404079067,3,,,,,,1700,15,2
125,540.0,720.0,1080.0,0.0,0.0,11.98600881814921,3,,,,,,1700,15,2
126,720.0,900.0,1260.0,6.552404291327226,7.527815751330635,9.277217063223494,2,,,,,,1700,15,2
127,720.0,1080.0,1440.0,0.0,6.50868183654616,11.977131437548394,2,,,,,,1700,15,2
128,720.0,1260.0,1620.0,0.0,15.74259898792505,9.470717678154491,2,,,,,,1700,15,2
129,720.0,1440.0,1800.0,0.0,0.9724965648295836,12.335048367726623,2,,,,,,1700,15,2
130,720.0,1440.0,2160.0,0.0,0.0,31.559804935057894,3,,,,,,1700,15,2
131,720.0,1440.0,2520.0,0.0,0.0,14.289910978540851,3,,,,,,1700,15,2
132,720.0,1440.0,2700.0,0.0,0.0,16.990493585668293,2,,,,,,1700,15,2
133,720.0,1440.0,2880.0,0.0,0.0,7.7743453906758,2,,,,,,1700,15,2
134,720.0,1800.0,3060.0,0.0,4.653821479647746,4.624750713112273,1,,,,,,1700,15,2
135,900.0,1980.0,3240.0,9.981287099469682,7.435054589409873,5.903945808073748,1,,,,,,1700,15,2
136,1080.0,1980.0,3240.0,12.31963630503922,0.0,0.0,1,,,,,,1700,15,2
137,1260.0,2160.0,3420.0,11.655290419479059,8.74191346660993,15.833768387735367,2,,,,,,1700,15,2
138,1440.0,2160.0,3420.0,12.672780161105853,0.0,0.0,2,,,,,,1700,15,2
139,180.0,0.0,0.0,5.32081419583695,0.0,0.0,2,,,,,,1700,15,2
140,180.0,0.0,0.0,5.407332967972896,0.0,0.0,2,,,,,,1700,15,2
141,360.0,0.0,0.0,5.003172572435233,0.0,0.0,2,,,,,,1700,15,2
142,540.0,0.0,0.0,6.9790917556394065,0.0,0.0,2,,,,,,1700,15,2
